timestamp,total,tcp,udp,icmp
2025-04-20T14:59:52.641841,396,337,37,0
2025-04-20T15:19:12.874817,7901,7739,131,0
2025-04-20T15:37:17.755036,1929,1918,5,0
2025-04-20T15:37:28.867233,1762,1735,24,0
2025-04-20T15:37:39.892416,1345,1334,7,0
2025-04-20T15:37:50.998238,1896,1885,5,0
2025-04-20T15:38:01.915301,392,383,6,0
2025-04-20T15:42:50.896291,176,111,47,0
2025-04-20T15:43:51.955299,108,5,30,44
2025-04-20T15:44:53.021505,50,2,30,0
2025-04-20T15:45:54.093119,72,20,31,0
2025-04-20T15:46:55.154313,78,4,37,20
